,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용
24,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",chocoko,4,믿고 사용하는 삼성,"오랜 시간 집에서 유선 이어폰을 사용하다, 데스크탑을 사용할때도 너무 불편하다는 생각이 들어 브리츠사의 블루투스 이어폰을 구입했었습니다. 집에서 주로 사용을 했었기 때문에 노캔 기능은 없는 제품이었고, 게이밍 모드만 탑재된 제품이었어요.집에서 게임을 한번씩 하긴 하지만 FPS 게임 같은것을 하는게 아니라서 솔직히 게이밍 모드는 체감이 별로 안 됐었고, 그냥저냥 싼맛에 잘 쓰고는 있었습니다. 하지만 최근에 밖에서 쓰던 저가형 블루투스 이어폰이 고장나면서 브리츠 제품을 써 보니, 노캔이 없는게 심각하게 체감이 될 정도로 불편했습니다. 특히 바깥에서는 게이밍 모드도 정말 1도 필요가 없으니 무용지물이었고, 노캔이 없으니 제대로 음악을 들을 수가 없었어요.솔직히 음질이 좋은 초고가 블루투스 이어폰이나, 노캔 성능이 엄청나게 뛰어난 제품은 저한테 전혀 필요가 없었습니다. 그냥 소음을 어느정도 막아주면서 음질도 적당하기만 하면 되는 수준인데 버즈2 프로는 고가 라인에 속하는 제품이라서 그런지 매우 만족스러웠습니다.갤럭시를 사용하는 입장에서 블루투스 연결이 매우 잘 되고, 전용 앱인 galaxy wearable로 음향 프리셋을 설정할 수 있다는 점도 매력적이었습니다. 다른 프리셋들은 솔직히 좋다는 느낌은 그다지 안 들었지만, 저음 강조와 풍성한 두가지는 굉장히 체감이 될 정도로 좋은 프리셋이었습니다.착용감은 이전 모델인 버즈 프로는 물론, 버즈2에서도 불편하다는 평이 좀 있어서 살짝 걱정은 했는데 프로 모델이고 착용감 개선을 해서 그런지 전혀 불편하지 않았습니다.또한 소소한 장점이지만 그라파이트의 색상이 매우 세련되고 고급스러워서 마음에 들었어요. 어차피 케이스를 씌워서 사용중이라 외부의 색상은 큰 의미가 없지만, 케이스를 열어 내부를 봤을 때 아주 색상이 훌륭하다는 느낌을 받았습니다.물론 이어팁을 끼우는 과정에서는 조금 불편함이 있었어요. 특히 오른쪽이 잘 끼워지지 않아서 다소 어려움이 있었습니다. 그리고 삼케플을 가입하려고 하니 처음에는 60일이 경과해서 가입이 안된다고 해서 고객센터에 별도로 연락을 해야 했습니다. 이 경우 쿠팡의 구매내역을 제출하니 금방 가입할 수 있도록 처리를 해주셔서 큰 불편함은 아니었습니다.마지막으로, 가격적인 면은 더할나위 없이 만족스러웠습니다. 제가 샀을때보다 지금이 몇천원 더 내려가긴 했지만 20만원이 안되는 가격으로 충분히 좋은 가격에 구입했다고 생각이 들었습니다."
25,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",최*희,5,비싸지만 비싼만큼 제값을 하는 버즈2 프로,"-일주일 간 갤럭시 버즈2 프로를 사용한 후기-이 리뷰는 오로지 제 개인적인,그동안 버즈를 착용하면서 느꼈던 생각,느낌들 등지극히 개인적인 생각과 의견들로만 적습니다또한 갤럭시 버즈를 쓰는건 처음이기 때문에 다른 버즈 시리즈들과의 비교는 할 수가 없습니다.그렇기 때문에 이 점을 감안하고 리뷰를 쓰도록 하겠습니다.======================================================================첫번째로 가격,저는 버즈2 프로를 살 당시에 원 가격이 24만680 이였었는데 카드 할인을 받아23만6천680 으로 구매를 했었습나다. 아무래도 요 최근 버즈 시리즈들에서 일어난 외이도염 이슈 때문에가격이 지금도 실시간으로 오르락 내리락 하고 있는것으로 보이는데, 개인적으로 가격이 좀 비싼게 아쉽네요당장에 현재 이어폰들을 봐도 값이 싸지만 그러나 고성능을 내는 이어폰들이 줄줄이 널려있고버즈2 프로도 보면 조금 너무 비싼감이 없잖아 싶다는 느낌이 살짝 듭니다.두번째 디자인, 무광 처리 에다가 매끈매끈한 촉감이 마치 노래 나오는 조약돌 같습니다 ㅋㅋ하지만 화려한 것 보다는 심플 이즈 베스트가 오히려 좋을수도 있겠죠. 개인적으로 저에겐 마음에 듭니다.세번째 착용감, 아마 착용감이 중요한 요소가 아닐까 싶습니다... 착용감이 어떤가에 따라 버즈 시리즈들에게서일어난 외이도염 이슈가 버즈2 프로에게서도 날 수가 있을지 아닐지 결정하는 요소일지도 모르니까요.일단 저는 개인적으로 그닥 남들이 봐도 건강하지 못한 이어폰 사용 생활을 하고 있습니다맨날 하루 종일 귓구녕 틀어 막고 저만의 세계로 빠진다던가, 게임,노래를 들을때도,어디 갈 때도 맨날귓구녕을 이어폰으로 막고 있거든요.  하지만 이런데도 저는 아직 까지도 외이도염 같은 귀와 관련된 증상들은겪고 있지 않습니다.아무래도 본인 생각에는 이어팁 소재가 맞지 않으신 분들에게,혹은 귓구멍에 맞지 않는데도 무리하게 억지로 이어폰을 끼워넣는 바람에 외이도염이 일어나는게 아닐까 하고 생각합니다(말 그대로 본인 생각입니다. 외이도염에 걸렸다, 안 걸렸다 하는건 개인마다 달라요!)하여간에, 착용감을 말하자면 일단 제 나름대로 편안했습니다. 다만 유닛 부분에 살짝 배가 볼록하게 튀어나와서그런지 귀가 조금 아픈듯한 느낌이 나서, 이어폰을 사용하고 나서 뺄 때엔 귀 마사지를 겸해서 쓰고 있습니다.네번째 음질, 이퀄라이저를 설정하기 전까지는 착용해보면 무슨 귀가 먹먹해진듯한, 째지는 소리가 날텐데이런 현상은 이어버드 이퀄라이저에서 저음 강조로 해 두시는 것을 추천 드립니다. 저음 강조로 해둬야버즈2 프로의 음질 밸런싱이 맞춰지는 듯한 느낌이 나거든요그리고 버즈2의 프로 음질은 저에게 있어선 굉장히 뛰어났습니다. 이렇게 까지 세세하고 선명하게악기 소리가 들리는건 처음이거든요. 나름대로 이름있는 AKG 이어폰이라던지 등등 이것저것 써보았지만이만큼이나 잘 들리는건 버즈가 처음일겁니다. 그정도로 정말 해상력이 좋고 공간감도 나쁘지 않습니다.마지막으로 배터리, 사실 별 쓸 말이 없으니 심플 하게 쓰자면 이어버드 충전 속도가 엄청 빠릅니다.그야말로 고속 충전이고 이어버드 자체의 배터리도 상당히 오래 갑니다. 아주 좋아요.======================================================================이정도로 리뷰를 써 보았는데, 진짜 비싼만큼 값을 하는구나 라고 느꼈습니다.만일 이어폰을 새로/혹은 재 구매 할 의사가 있느냐 한다면 저는 무조건 재 구매할 의사가 있다고 밝힐것입니다."
26,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",김*휘,4,등록된 헤드라인이 없습니다,"에어팟 프로 쓰다가 폰을 바꾸면서 폰이랑 같이 버즈로 바꾸게 되었습니다.진짜 검색 많이 해보고 영상도 많이 보고 받아 놓고도 개봉전에 또 후기 찾아보고 하다가 결국 개봉했습니다.음질은 풍성하고 좋은거 같아요. 다만 말을하면 대화하기 기능 바뀌는데요. 주변소리 듣기모드가 왠지 제 귀에는 소리가 너무 자연스럽지 못해요.에어팟프로를 1년정도 써오면서 외부의 소리가 자연스럽게  들어왔다면 이건 기계음 같이 들려요.그리고 혼잣말을 자주 하는편인데 자꾸 외부소리듣기로 바뀌어서저는 이 기능이  불편하네여 ㅜㅜ 그래서 기능 껐습니다. 노이즈캔슬링도 저는 에어팟이 우위에 있다는 느낌을 받았습니다. 에어팟프로는 약간 답답하다는 느낌을 받을만큼 외부소리가 차단이 되고 음악소리에 집중이 되는데 이 제품은 외부 소리가 약하게남아 들리네요. 터치로 노이즈캔슬링과 볼륨을 설정 할 수 있는데 두 기능중에 사용자가 선택한 기능만 터치로 설정이 가능 합니다.만약에 터치로 노이즈캔슬링을 하겠다하면 음량은 폰으로 올리고 내려야하고 반대로, 터치로 음량 높낮이를 설정하겠다고 하면 노이즈캔슬링은 폰에서 따로 설정 해야합니다. Z플립4 디자인이 이쁘고 통신사에서 통신요금 할인이 되어 갈아탔지만 기회가 될때 아이폰으로 다시 넘어갈까 하는 생각이 들었습니다.물론 음향은 개인 취향이긴하지만 기능적으론 애플이 앞서 있는거 같단 생각을 했습니다."
27,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",와씨대박,5,등록된 헤드라인이 없습니다,z플립 장만한 기념으로 버즈도 샀어요. 쿠팡이 제일 저렴해서 신나게 결제했네요. 저는 귓구멍이 특이한 형태인지 착용테스트하면 한 번에 오케이가 안되네요. 그래서인지 한 쪽이 항상 약간 빠질것 같은 느낌이 있거든요. 메모리폼 이어팁을 구매해볼까 생각하고 있어요.반면에 신랑은 한 번에 착 내 몸인듯이 잘 맞네요. b&o 사용하다가 버즈로 갈아탔는데 버즈가 훨씬 편하고 음질도 좋아요. 에어팟 2세대랑 3세대프로도 집에 있는데 제 귀에는 버즈가 더 좋은것 같아요. 무엇보다 케이스만 오픈하면 핸드폰에 바로 연결되는점 아주 칭찬해요. 귓구멍에 잘 안맞는건 제 귀가 이상한거니까 이어팁을 잘 찾아봐야겠어요.케이스는 사실 없는게 제일 예쁜데 스크래치는 가슴 아프니 투명한 일체형으로 샀어요. 분리형은 열 때 벗겨질까봐(z플립 케이스가 그렇더라구요) 일체형만 찾았는데 딱 맞는게 쿠팡에 있었어요.버즈는 장바구니에 넣어두고 고민하던 차에 당근마켓과 같은 가격이 뜨길래 얼른 구매했어요. 비정기적으로 가격이 변하니까 급하지 않으시면 카드할인이나 가격할인 되어서 사시면 기분 더 좋으실 것 같아요. 중고 미개봉 상품 보다는 그래도 쿠팡에서 새제품 사는게 안심이 되니까요.
28,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",박*종,5,할인때 사서 여태 써본 느낌 리뷰 해봅니다.,일단 다양한 유튜브 참고 후에 필요하겠다 싶어서 구매 했습니다.첫 구매후 착용감은 버즈2 보다 안좋았던거 같습니다.버즈2는 착용 했을때 딱 귀에 감겨오면서 밀착 되는 느낌 이었으나버즈2 프로는 붕뜨는 느낌이었고그래서 첫 느낌은 별로 였습니다.사이즈 교체후에 어느정도 맞았지만 만족 스럽지 않아서컴플라이 폼팁 구매해서 써보고(본인은 꽉 끼면서 좀 덥고 답답한 느낌이 있음 3M 귀마개 느낌이었음)아즈라 크리스탈 s사이즈 사서 아즈라로 해결 봤습니다.(이건 덥다는 느낌이 다행이 안듬)====음질 비교는20만원 후반대 헤드셋에 비할바는 못되고버즈2의 상위 호환 정도?버즈2 프로의 음질 특징으로는 느낀바 보이스 구분은 확실하다 입니다. 잔나비 히든싱어편을 한번 들어보면 확실히 버즈2프로가 미세한 차이까지 구분을 잘 해준다는걸 알게 됬습니다.그외는 솔직히 사람이 미세하게 구분할 노래들이 있을까 싶음맨날 클래식 들을것도 아니고 말이죠자 다음은노이즈 캔슬링얼만큼 주위 소리를 잘 지워 주냐?이것이 궁금 하겠죠일단 고 음역대는 버즈2 프로가 카바를 잘 못합니다.근데 저 음역대는 잘 지워 주는거 같네요반면에 버즈2는 전체적인 밸런싱이 나쁘지 않아서 고저음 적절하게 잡아 주는 느낌버즈2 프로는 저역대가 강화 되었다고 하나 고음역대가 좀 잘 들어오는 느낌은 없잖아 있었음그리고 마지막으로 확실히 더 가벼워져서 그런지 잘 껴놓고 있으면 느낌도 없음ㅋㅋ결론은 버즈2프로 사서 주변 악세사리도 고민해봐야함
29,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",Lime0001,5,"좋은 음질, 아주 좋은 착용감, 아쉬운 ANC","버즈2프로와 이 전에 사용하던 비슷한 가격대의  소니의 WF 1000XM4를 1로 놓고 비교해봤을때 음의 선명함과 풍부함은 0.9, 노이즈캔슬링은 0.6, 착용감은 1.5를 주고싶네요.음질은 취향 차이로 평이 갈릴거 같습니다. 보컬은 버즈2프로가 악기의 음색은 소니가 더 뛰어나다고 느꼈어요.노이즈 캔슬링은 기본상태에서 봤을때 소니의 압승입니다.소니는 버스에서 음악을 들으면 정류장 안내 멘트가 안들려 정거장을 놓치는 수준이라면, 버즈2는 음악소리를 뚫고안내 멘트가 들려오더군요. 그것도 꽤 선명하게 들려요.이건 기본 구성이 소니는 메모리폼팁, 버즈2프로는 실리콘팁이다보니 생기는 차이일 수 있습니다.실제로 메모리폼팁으로 교체시 이 부분에서 개선이체감된다는 리뷰가 꽤 있던걸로 봐서, 이 부분은 차후폼팁 교체 후 다시 작성을 해보겠습니다.착용감은 반대로 버즈2프로의 압승이네요.기본적으로 제품 자체가 귀에 쏙 들어가 밀착하는 버즈2프로에 비해 1000XM4는 귓구멍에 넣은 이어팁 부분으로만 버티는 느낌으로 착용하게 되어있습니다.귀에 느껴지는 피로감이 크게 차이가 날 수밖에 없어요.게다가 1000XM4는 기본적으로 꽤 큰 사이즈의 이어폰이고무게도 버즈2프로에 비해 2g 정도 더 무겁습니다.이런 점도 착용감에 큰 영향을 준 것 같네요.ps: 조작 방법과, 외부소리 듣기 모드 소니의 승리입니다. 소니는 왼쪽은 노캔,외부소음모드. 오른쪽은 음악,통화 조작으로 나뉘어 있어 좀더 직관적이지만 버즈2프로는 양쪽 모두 기본 터치는 음악재생, 통화. 길게 터치로 노캔, 외부소음 모드 전환이라 조금 더 불편하네요.외부 소음모드 작동시에 말소리도 소니쪽이 더 선명합니다.버즈2프로는 소리가 조금 울려요.별거 아니지만 신경쓰이는 단점 하나 추가이어폰을 충전 케이스에 넣었을 때 달라붙는 힘이 약합니다.실수로 케이스에서 빠트릴 수 있으니 조심하세요.9/22 삼성 공홈에서 판매중인 버즈2프로 컴플라이 메모리폼팁으로 교체 후 추가 감상입니다.음질의 소폭 상승이 느껴지네요.노캔은 여전히 고음부 차단이 잘 안 됩니다.음악감상중을 기준으로 차소리,아이들 특유의 고음, 특히 대중교통 안내방송은 그대로 선명하게 뚫고 들어오네요. 중저음 부분(ex:남성분들 대화소리 등)은 괜찮은 수준입니다.바로 옆에서 대화중이어도 대화 내용이 안들리는 수준은 돼요.폼팁 교체 후 노캔 비교 점수는 0.6점 그대로입니다.점수를 더 주기엔 약점인 고음부 성능 상승폭이 많이 미미하군요.음질부분에선 중저음 부분이 선명해졌다고 느꼈습니다.구체적으로 느껴지는 부분은 드럼과 베이스. 특히 드럼이네요. 밴드 음악이나 힙합 좋아하시는 분들은 왠만하면 폼팁 교체 후 사용을 추천드리고 싶을 정도에요. 1.0점착용감은 폼팁이 전보다 귓구멍을 꽉 막게 되면서전에 비해 약간의 압박감이 느껴집니다. 그래도 '전에 비해' 수준이고 여전히 비교대상인 1000xm4에비하면 피로감이 없는 수준입니다. 1.4점+ 통화품질은 이어폰 사용자가 아닌 상대방 입장에서 평가했을 때버즈2프로가 더 뛰어납니다. 1000xm4는 주변소음도 많이 섞이고 이어폰 사용자의 말이 뭉개져 잘 들리지 않았던거 같습니다.통화할때 이어폰을 빼고 휴대폰으로 통화해야 했던 적이 대다수였네요.총평: 내가 외부활동을 많이하며 이어폰을 한번에 장시간 쓴다. 또 나는 이어폰을 통화에서도 쓰고싶다는 타입에게는 버즈2프로.나는 이어폰을 짧은 시간만 이용하는 -특히 대중교통 이용시에 이용하는 타입-이고 미디어 재생으로만 쓸거다는 타입에겐 wf-1000xm4가 더 잘 맞는 기종이라고 생각합니다. *이 리뷰는 비 갤럭시 유저인 제 입장에서 쓴 리뷰라 버즈2프로의성능을 100% 살리지 못 한 상황에서 쓰여졌음을 밝힙니다.예를 들어 버즈2프로에서 지원하는 고품질 음악코덱인 ssc hi-fi는one ui 4.0 이상이 적용되는 삼성 제품에 제공되는 기능이라갤럭시 유저가 아니거나 구형 갤럭시 기종을 사용중이라면음질을 기본적으로 손해보며 사용중인 셈이니까요.비교대상인 1000xm4는 소니 스마트폰이 망한 수준이라 그런지자기네 제품과 꼭 연동해야 성능을 다 사용가능하게 해놓진 않았네요;;;9/23  갤럭시와 연결해서 써본 후기음질 1.3으로 상향합니다. 음질 향상이 너무 극적이라 어이가 없어 웃음이 나오네요 ㅎㅎㅎ;;; 저음부의 풍부함, 보컬의 선명함 전체적으로 확 올라갔습니다.갤럭시 쓰시는 분들은 고민말고 버즈2프로 쓰세요. ...결국 다음 핸드폰은 갤럭시로 되돌아가게 생겼습니다.. ㅡㅡ;;;"
30,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",손*현,5,너무너무너무 좋아요~!!!,어디까지나 듣는 귀는 사람에 따라 다르겠지만 저는 지금까지 qcy 종류와 친구한테 저렴하게 산버즈 라이브로만 노래를 들었던 입장에선 버즈 2 프로는 정말 신세계였어요!물론 제가 저음만 강화되면 좋은 줄 아는 막귀이긴한데(모드도 저음 강화로 씁니다.) 정말 더할 나위 없습니다.원래는 소니사의 wf-1000xm4와 고민 했었는데 친구한테 빌려서 잠깐 써보니 wf-1000xm4는 귀가 너무 아프더라구요.가뜩이나 운동할 때도 이어버드를 많이 착용하는 터라 바로 갤럭시 버즈 2 프로로 구매하게 되었습니다.그리고 마지막으로 보라퍼플 색 진짜 너무 예뻐요ㅠㅠㅠㅠ 가뜩이나 제가 좋아하는 매트한 소재라 좋은데제 z플립이랑 색상도 동일해서 완전 찰떡이더라구요 ㅎㅎ 꼭 사세요 두번 사세요
31,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",또담또담,5,성능좋고~ 디자인 맘에들어요♡,"무광인듯 고급스러운 느낌에~ 디자인도 깔끔해요^^아들이 원하는 스타일이라 시험잘 본 선물로 줬는데 너무 좋아합니다~ㅎㅎㅎ외부소리차단도, 이어폰 터치도 잘되고요~ 무엇보다 음질이 너무 짱짱하고 좋아요^^귓에 맞는 이어캡을 바꿔 낄 수 있어서 사이즈에 맞게 끼워서 사용하면 되고, 충천연결잭이 함께 들어있어요."
32,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",메이준,5,이번 버즈2 프로 음질은 대박 착용감은 실망.,착용하자마자 귀가 너무 아파 짜증나서 별4개 리뷰썼다가 차분한 마음으로 다시 적응해야겠단 느낌으로 차분히 들은 후 수정해서 올려봅니다에어팟2세대 - 버즈 프로 - 에어팟 프로 - 버즈 2- 에어팟 3세대-버즈2프로 까지 순서대로 사용하고 지금도 다 소유하고 있습니다. * 순전히  개인적인 기준 (버즈 프로 불편했던 분들 참고하세요)착용감 : 에어팟 3세대 > 에어팟 2세대 > 에어팟 프로> 버즈2> 버즈2 프로> 버즈 프로저희 가족들 다 착용시켜봤는데 저만 버즈랑 궁합이 안맞는듯 합니다 ㅜㅜ저 빼고 다른 가족들은 이번 버즈2 프로 착용감 괜찮다고 하네요 음질 : 버즈2프로>에어팟3세대=에어팟프로=버즈프로>에어팟2세대>버즈2음질은 버즈2 프로 진짜 좋네요 버즈2랑 비교해서 그런지 체감이 확 됩니다. 물론 에어팟 3세대 에어팟 프로 보다도 좋습니다.가족들 평가가 나쁘지 않아서 별 4개에서 별 5개로.개인적으론 착용감은 정말 아직도 버즈 프로에서 크게 벗어나지 못했다고 봅니다. 노이즈 캔슬링:에어팟프로가 버즈2 프로 보다 성능이 좋습니다.왜인지 모르게 버즈2 프로 노이즈 캔슬링을 켜면 약간 어지러우면서 오바이트 쏠립니다.에어팟 프로는 확실히 덜한데 개인적으론 버즈2 프로는 그 약간 어지러움이 거슬리네요 저만 빼고 우리 가족들은 그냥 괜찮다고 하네요이부분은 제가 예민한듯 합니다.마지막으로 케이스에 이어폰 넣을때 가끔 착!~하고  제자리에 달라붙지않고 엉뚱하게 붙어서 손으로 제자리 잡아줘야할때가 있습니다.아무것도 아닌듯하지만 은근 귀찮을 때가 있네요.
33,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",김*오,5,만족합니다.,중국산 QCY 쓰다가 음질도 떨어지고 버즈2랑 고민하다 이왕이면 점 더 나은걸로해서 버즈2프로 선택했는데 기존 쓰던게 워낙 구닥다리라 그런지 신세계를 경험합니다.
34,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",이*경,5,버즈 프로 친구가 망가뜨려서 샀습니다.,"1년 7개월 동안 버즈 프로를 쓰다가 친구가 한 쪽을 보내버려서.. 다시 사려다가 사는 김에 오래 쓸 거니까 최신 거로 구매했습니다 제 인생 첫 이어폰이 버즈 프로예요 그래서 다른 이어폰은 몰라요.. 제 개인적인 생각으로 딱 버즈 프로랑만 비교하자면 외관 일단 외관은 버즈 프로보다 고급져요 저가 무광을 좀 좋아해서.. 부들부들 야들야들하기도 하구요 제 친구들이 버즈 프로는 다 좋은데 x같이 생겼다고 놀리기도 했고.. 버즈2 프로는 개인적으로 만족합니다 착용감 제가 첫 이어폰이 버즈 프로다 보니까 다른 걸 안 껴봐서 버즈 프로도 잘 맞네? 잘 안 빠지고.. 천생연분이다 싶었죠.. 버즈2 프로를 사기 전까지는요 진짜 좋은 녀석이 나타나니까 버즈 프로를 다시 껴봐도 좋다는 생각이 전혀 안 드네요ㅋㅋㅋㅋㅋㅋ 굉장히 만족합니다음질 솔직히 음질은 버즈 프로랑 거~~~의 차이가 없어요 막귀라 그런가? 진짜 양쪽에 프로, 2프로 끼고 노래를 들어봤는데 2프로쪽이 약간 더 선명하다? 라는 느낌?이 아주 살짝 드는 거 말곤 똑같네요 (근데 전 버즈2 프로가 더 좋아요)노캔 이거 진짜 확실하게 버즈 프로보다 노캔 좋아졌어요 진짜 먹먹함은 줄었는데 소리는 더 잘 막아준다? 와우! 삼성분들 외계인 납치 그만하셔용100% 개인적으로 버즈 프로랑 비교해봤어요.. 진짜 만족합니다 그리고 버즈 프로는 360오디오를 동영상에서만 사용할 수 있지만 버즈2 프로는 노래를 들을 때도 가능해서 좋아여 짱짱맨"
35,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 화이트",서*혁,5,좋아요,"좋은점음악을크게틀어놔도 내가말하면 음악소리가 아주 작게들리고주위소리가 정말 잘들어요가지고다니기편해요음질이좋아요 부드러운거같아요 괸이 음질조정하면소리가 갈라지는?기때문에 음질은않건들이는게좋아요무조건사셔야해요 지금이벤트중이라 10만원싸게살수있어요11월 19일 에글씀작아서 귀에 쏙들어가요 고급스러워요 젤리케이스 입맛대로 꼭사세요 단점귀가약간아파요 소리스피커가 피부에닿아있기때문에 처음엔따끔거려요 적응되면 않아파지더라구요 그래도약간 좀그래요2,1이상아니면 360도 회전하면 소리가달라지는기능을쓸수가없어요. 갤럭시폰사라는뜻인듯...떨어트리면 오 17만 증발현상을 겪을수있기때문에 진짜조심하세요 삼성제품이라튼튼하겠지만 그래도꼭조심하세요비오는날에는 왠만하면피해요 물들어갑니다. 사망신고할수도있어요"
36,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",이*혜,5,정말 최고네요!!,"에어팟프로 사용자 입니다다른 에어팟프로 사용자님들의 이야기를 정말 그럴까?했는데정말최고네요제가 갤폰 보다 아이폰으로 버즈프로2로 음악을 듣는데요에어팟프로 정도 되었어요제가 좋아하는곡>Without Words:Genesis 앨범중Light 들으면서 와~~ 했어요평소 음악듣는거 좋아하고 노이즈 캔슬링 안되면 구매 안해요밖에서 나가서 노이즈캔슬링 실험 해봐야 겠어요 ㅋ ㅋ운동하면서 느낀점은요뛰는건 약간 불안하구요소니 처럼 제가 뭔가 노래따라 부르는순간 노이즈 꺼지고밖에 소음과 제 목소리 들려요완벽한 노이즈캔슬링 안되지만 아이폰과 애플워치 페어링정말좋아요오히려 갤러시폰과 페어링은 몇분 걸림^^;;제가 말하는 순간 음악은 꺼지고, 제가 말을 안하니까 몇초후음악소리가작게 들리더니 점점 원래듣던 소리 만큼 으로 돌아오네요비싼 헤드셋 구매 안해도 참을만 합니다삼성 이어폰 많이 좋아 졌어요굿~~"
37,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 그라파이트",너굴먠,3,노캔 기능은 에어팟 못따라가네요,"저는 아이폰 유저라 에어팟 프로1-2를 모두 사용했고이번에 아버지 생신이라 이걸 샀습니다.프로1은 남자친구 선물로 사서 껴봤는데 확실히 노캔이 에어팟 프로1보다 딸려서 프로2는 기대를 했더니 역시나 에어팟 프로1보다도 노캔이 별로입니다.에어팟 프로1-2는 노캔을 키면 딱 먹먹해지면서 노캔이 됐구나 싶은데, 버즈프로는 1,2모두 노캔을 켜도 그냥 내가 이어폰을 껴서 잘 안들리는구나 하는 느낌이에요. 그렇게 좋진 않아서 실망함 ㅠ그래서 혹시 수험생인데 노캔을 쓰려고 산다면 비추입니다. 차라리 소니 헤드셋을 사던지 아님 에어팟 사서 쓰세요그래도 가격은 역시 합리적입니다. 솔직히 상향 평준화되서 그렇지 이어폰 하나에 18만원은 좀 비싸긴 합니다만, 에어팟 프로가 33맘원인거에 비해선 훨 낫습니다.정리하자면- 노캔이 중요한데 에어팟과 고민중이다 -> 에어팟- 폰 호환성이 중요하다 -> 폰 기종이랑 맞추기- 음질은 막귀로서는 에어팟이나 버즈나 똑같음"
38,"삼성전자 갤럭시 버즈2 프로, SM-R510N, 라이트 바이올렛",이*동,5,등록된 헤드라인이 없습니다,앤커 리버티3 프로 사용중 이고요자브라 엘리트 프로7 도 잠시 사용해 봤습니다.음질막귀라 그렇게 민감하거나 그런건 없지만앤커 리버티3나 자브라 엘리트프로7 보다는좀더 편안한 느낌이랄까...착용감착용하고 있는지도 모를지경입니다앤커도 편한데 너무 티어나와있고요자브라도 편한데 골울림등 이압이 심했어요 저한테는편의성삼성폰 두대 워치4 사용중인데오토스위치로 자유롭게 이동가능하더라구요멀티포인트 보다는 약간 느린데 거슬릴정도는 아닙니다.노이즈켄슬링앤커리버티3프로 켄슬링 좋다는 리뷰어들 평이 많은데그보다는 좋은거 같아요에어팟이나 다른 버즈류는 안써봐서 비교는 못해요통품자브라는 업뎃이후 쓰레기 수준 된걸로 알고있어요적당한 소음에서는 괜찮은데좀 시끄러운곳에서는 소음과 말소리가 같이 줄어 들어서말소리가 안들려요앤커리버티3프로 는 통품 아주 좋습니다리뷰어들도 좋다는 평이 많았죠하지만 버즈2프로가 더 자연스럽고 소음억제가 더 확실합니다.통품은 버즈2프로가 압도적 이네요단점터치설정을 좀더 사용자 커스텀할수 있게 했으면 좋겠어요주변소리듣기 는 자연스럽게 들리지만바람소리는 다 들어옵니다앤커리버티3프로도 바람소리가 들어오지만 들어오다 차단되거든요이건 웨어러블 어플 업뎃및 펌웨어 업뎃하면 될꺼같은데해줄까 몰라요암튼 주변소리듣기에서 바람소리만 좀더 줄여준다는단연 최고가 아닐까 생각합니다.
